Year,m,d,Time,Time zone,Maximum temperature (degC)
2004,7,15,00:00,UTC,18.5
2004,7,16,00:00,UTC,21.3
2004,7,17,00:00,UTC,20.6
2004,7,18,00:00,UTC,21.9
2004,7,19,00:00,UTC,23.2
2004,7,20,00:00,UTC,20.3
2004,7,21,00:00,UTC,22.5
2004,7,22,00:00,UTC,23.4
2004,7,23,00:00,UTC,22.6
2004,7,24,00:00,UTC,22.1
2004,7,25,00:00,UTC,20.6
2004,7,26,00:00,UTC,21.1
2004,7,27,00:00,UTC,21.3
2004,7,28,00:00,UTC,20.3
2004,7,29,00:00,UTC,17
2004,7,30,00:00,UTC,19.5
2004,7,31,00:00,UTC,20.6
2004,8,1,00:00,UTC,20.6
2004,8,2,00:00,UTC,24.6
2004,8,3,00:00,UTC,24
2004,8,4,00:00,UTC,24.2
2004,8,10,00:00,UTC,21.8
2004,8,11,00:00,UTC,23.6
2004,8,12,00:00,UTC,20.2
2004,8,13,00:00,UTC,19
2004,8,14,00:00,UTC,15.6
2004,8,15,00:00,UTC,16.7
2004,8,16,00:00,UTC,19.6
2004,8,17,00:00,UTC,17.8
2004,8,18,00:00,UTC,20.6
2004,8,19,00:00,UTC,18.9
2004,8,24,00:00,UTC,17.7
2004,8,25,00:00,UTC,17.3
2004,8,26,00:00,UTC,15.3
2004,8,28,00:00,UTC,19.4
2004,8,29,00:00,UTC,18.6
2004,8,30,00:00,UTC,18.3
2004,9,3,00:00,UTC,21
2004,9,4,00:00,UTC,18.1
2004,9,5,00:00,UTC,19.6
2004,9,7,00:00,UTC,15.6
2004,9,8,00:00,UTC,12.5
2004,9,9,00:00,UTC,12.9
2004,9,10,00:00,UTC,16.9
2004,9,13,00:00,UTC,17
2004,9,14,00:00,UTC,16.1
2004,9,15,00:00,UTC,16.1
2004,9,16,00:00,UTC,14.2
2004,9,17,00:00,UTC,13.8
2004,9,18,00:00,UTC,13.8
2004,9,19,00:00,UTC,15.8
2004,9,20,00:00,UTC,15.4
2004,9,21,00:00,UTC,13.9
2004,9,22,00:00,UTC,12.6
2004,9,23,00:00,UTC,13.8
2004,9,24,00:00,UTC,13.9
2004,9,25,00:00,UTC,12.8
2004,9,26,00:00,UTC,15.5
2004,9,27,00:00,UTC,13
2004,9,28,00:00,UTC,12
2004,9,29,00:00,UTC,13.7
2004,9,30,00:00,UTC,12.3
2004,10,1,00:00,UTC,14
2004,10,2,00:00,UTC,11.6
2004,10,3,00:00,UTC,9.9
2004,10,4,00:00,UTC,12.8
2004,10,5,00:00,UTC,14.3
2004,10,8,00:00,UTC,12.6
2004,10,9,00:00,UTC,8.6
2004,10,10,00:00,UTC,4.4
2004,10,11,00:00,UTC,3.5
2004,10,12,00:00,UTC,9.9
2004,10,13,00:00,UTC,8.9
2004,10,14,00:00,UTC,8.8
2004,10,15,00:00,UTC,9
2004,10,16,00:00,UTC,8.1
2004,10,17,00:00,UTC,8.8
2004,10,19,00:00,UTC,7.7
2004,10,26,00:00,UTC,10.5
2004,10,27,00:00,UTC,10.3
2004,10,28,00:00,UTC,8.3
2004,11,5,00:00,UTC,9.4
2004,11,6,00:00,UTC,8.1
2004,11,7,00:00,UTC,5
2004,11,8,00:00,UTC,8.1
2004,11,9,00:00,UTC,8.7
2004,11,10,00:00,UTC,6.5
2004,11,11,00:00,UTC,6.9
2004,11,12,00:00,UTC,8.7
